tag,category,count,insert_mode
"aaron huton (cyphers), cyphers, 1boy, mature male, beard, blue eyes, scar across eye, short hair, white hair, navel hair, chest tattoo, thick thighs, navel, arm tattoo, scar on face, bandaid on cheek, chain necklace, bara, muscular male, large pectorals, abs, stomach, chain",4,89,phrase
"aaron wei, eiyuu densetsu, 1boy, yellow eyes, hair between eyes, red hair, long hair, low ponytail, ponytail",4,159,phrase
"aarontsay, indie virtual youtuber, 1girl, cat girl, animal ear fluff, cat ears, animal ears, cat tail, blue eyes, white hair, long hair, grey hair, large breasts, cleavage, thighs, navel, bare shoulders, virtual youtuber, virtual youtuber, midriff, stomach",4,42,phrase
"aatrox, league of legends, 1boy, demon boy, demon, demon wings, horns, glowing eyes, red eyes, muscular male, abs, bara",4,112,phrase
"aayla secura, star wars, 1girl, blue skin, lips, pointy ears, brown eyes, blue hair, tentacle hair, large breasts, cleavage, navel, brown pants, single sleeve, alien, jedi, lightsaber, midriff, crop top, blue lightsaber, jedi",4,38,phrase
"abaddon (demon) (haunted hotel), haunted_hotel, 1girl",4,13,phrase
"abaddon (haunted hotel), haunted_hotel, 1boy, animification, 1girl, brown_hair, aged_up, orange_hair, long_hair, short_hair, blue_eyes, hetero, shirt, brown_eyes, undercut, lifting_own_clothes, pale_skin, scar",4,269,phrase
"abara hanbee, tokyo ghoul",4,41,phrase
"abarai ichika, bleach",4,60,phrase
"abarai renji, bleach, 1boy, red hair, long hair, ponytail, chest tattoo, forehead tattoo, black kimono",4,229,phrase
"abbey (pui pui molcar), pui pui molcar",4,39,phrase
"abby (toshizou), original, 1girl, demon girl, demon tail, demon wings, demon wings, pointy ears, red eyes, hair between eyes, grey hair, long hair, very long hair, white hair, twintails, crossed bangs, small breasts, navel, sweat, black panties, bare shoulders, black wings, black wings",4,59,phrase
"abby (wuthering waves), wuthering waves",4,58,phrase
"abby (za1f0n), original",4,49,phrase
"abe nana, idolmaster, 1girl, rabbit ears, brown eyes, brown hair, orange hair, short hair, ponytail, hair ribbon, medium breasts, large breasts",4,1364,phrase
"abe no seimei (fate), fate/grand order",4,41,phrase
"abe no seimei (onmyoji), onmyoji, 1boy, blue eyes, eyeshadow, white hair, long hair, very long hair, japanese clothes, black headwear, long sleeves, kariginu, tate eboshi, kariginu",4,70,phrase
"abe takakazu, kuso miso technique, black hair",4,260,phrase
"abe takaya, ookiku furikabutte",4,30,phrase
"abekawa kinako, acmeholic",4,39,phrase
"abel (hazbin hotel), hazbin_hotel, 1girl",4,17,phrase
"abel (street fighter), street fighter, 1boy, blue eyes, blonde hair, scar, fingerless gloves, dougi, muscular, alternate form, dougi",4,52,phrase
"abel nightroad, trinity blood, 1boy, blue eyes, glowing eyes, red eyes, glasses, long hair, white hair, coat, belt",4,35,phrase
"abelia (ogami kazuki), original, 1girl, pointy ears, hair over eyes, red eyes, thick eyebrows, grey hair, ahoge, burn scar, black dress, white dress, long sleeves, sleeves past wrists",4,192,phrase
"abella (fear & hunger), fear & hunger, 1girl, red hair, low-tied long hair, very long hair, hair ribbon, large breasts, medium breasts, bare shoulders, yellow overalls, tank top, yellow overalls, brown tank top",4,80,phrase
"abeno-shakuji-maya, denonbu, 1girl, hair between eyes, long hair between eyes, black eyes, grey eyes, grey hair, very long hair, long hair, bandaged leg, fox mask, black serafuku, black shirt, mask on head, pleated skirt, black skirt, long sleeves, black sailor collar, green neckerchief, bandaged neck",4,37,phrase
"abercrombie (azur lane), azur lane, 1girl, rabbit ears, blue eyes, hair between eyes, blonde hair, long hair, small breasts, red jacket, black thighhighs, playboy bunny",4,78,phrase
"abigail (final fight), street fighter",4,39,phrase
"abigail (stardew valley), stardew valley, 1girl, lips, ear piercing, blue eyes, green eyes, purple hair, long hair, hair ribbon, large breasts, medium breasts, cleavage, navel, choker, purple nails, nail polish, miniskirt",4,57,phrase
"abigail williams (animejapan 2018) (fate), fate/grand order, 1girl, blue eyes, blonde hair, very long hair, parted bangs, hair bow, collarbone, blue dress, black headwear, sleeveless dress, black bow, white bow, bare shoulders, blue bow, forehead, beret, black hat",4,65,phrase
"abigail williams (emerald float) (fate), fate/grand order, 1girl, blue eyes, blonde hair, long hair, parted bangs, double bun, sidelocks, hair bow, small breasts, thighs, navel, collarbone, black bikini, frilled bikini, orange bow, black bow, bare shoulders, polka dot bow, forehead",4,397,phrase
"abigail williams (fate), fate (series), 1girl, blue eyes, blonde hair, very long hair, long hair, parted bangs, hair bow, small breasts, orange bow, black bow, polka dot bow, long sleeves, forehead",4,11123,phrase
"abigail williams (festival outfit) (fate), fate/grand order, 1girl, maid headdress, blue eyes, blonde hair, very long hair, long hair, butterfly hair ornament, parted bangs, sidelocks, braid, small breasts, black dress, white shirt, black skirt, white dress, sleeves past fingers, long sleeves, forehead, tentacles, teddy bear, keyhole",4,346,phrase
"abigail williams (second ascension) (fate), fate/grand order, 1girl, red eyes, blonde hair, very long hair, parted bangs, small breasts, navel, witch hat, black headwear, black panties, hat bow, revealing clothes, black thighhighs, orange bow, black bow, polka dot bow, bare shoulders, forehead, tentacles, keyhole, teddy bear, black hat",4,547,phrase
"abigail williams (swimsuit foreigner) (fate), fate (series), 1girl, blue eyes, very long hair, blonde hair, parted bangs, sidelocks, twintails, double bun, hair bow, small breasts, thighs, navel, white headwear, white bikini, bare shoulders, white bow, forehead, bonnet, keyhole, miniskirt",4,1572,phrase
"abigail williams (swimsuit foreigner) (first ascension) (fate), fate/grand order, 1girl, white skin, sharp teeth, red eyes, pink eyes, third eye, very long hair, white hair, parted bangs, double bun, sidelocks, hair bow, small breasts, thighs, navel, collarbone, black bikini, bare shoulders, orange bow, black bow, multiple bows, forehead, tentacles, keyhole",4,414,phrase
"abigail williams (swimsuit foreigner) (second ascension) (fate), fate/grand order, 1girl, blue eyes, blonde hair, very long hair, parted bangs, sidelocks, double bun, twintails, braided bun, small breasts, thighs, covered navel, white one-piece swimsuit, dress swimsuit, white headwear, bare shoulders, orange bow, black bow, multiple bows, forehead, black cat, keyhole, mitre, white hat",4,241,phrase
"abigail williams (swimsuit foreigner) (third ascension) (fate), fate/grand order, 1girl, blue eyes, blonde hair, very long hair, parted bangs, sidelocks, twintails, hair bow, small breasts, thighs, navel, white bikini, white headwear, white bow, bare shoulders, swim ring, forehead, black cat, bonnet, miniskirt, innertube",4,864,phrase
"abigail williams (third ascension) (fate), fate/grand order, 1girl, pale skin, white skin, red eyes, purple eyes, pink eyes, third eye, white hair, very long hair, parted bangs, small breasts, navel, witch hat, black panties, black headwear, hat bow, revealing clothes, black gloves, orange bow, black bow, polka dot bow, tentacles, forehead, keyhole, black hat",4,854,phrase
"abigail williams (traveling outfit) (fate), fate/grand order, 1girl, blue eyes, blonde hair, single hair bun, long hair, parted bangs, hair bow, crossed bandaids, bandaid on forehead, black jacket, orange bow, black bow, long sleeves, polka dot bow, sleeves past fingers, forehead, tentacles, teddy bear",4,1062,phrase
"abomasnow, pokemon",4,141,phrase
"abra, pokemon, no humans, tail, red eyes, long hair, blunt bangs, pokemon (creature)",4,186,phrase
"absinthe (arknights), arknights, 1girl, bear girl, bear ears, red eyes, hair between eyes, short hair, grey hair, brown hair, large breasts, long sleeves",4,275,phrase
"absol, pokemon, no humans, furry female, single horn, tail, red eyes, white pupils, white hair, short hair, sidelocks, pokemon (creature), claws, white fur, body fur",4,1002,phrase
"abukuma (azur lane), azur lane, 1girl, oni horns, skin fang, pointy ears, horns, ear piercing, fang, red eyes, hair between eyes, eyebrows, eyelashes, black hair, long hair, short hair, blue hair, two-tone hair, purple hair, ahoge, hairclip, medium breasts, large breasts, black thighhighs, skindentation, bare shoulders, red ribbon, earrings, facial mark, retrofit (azur lane), jingle bell",4,33,phrase
"abukuma (kancolle), kantai collection, 1girl, blue eyes, hair between eyes, blonde hair, long hair, double bun, twintails, hair rings, serafuku, serafuku",4,2258,phrase
"abukuma kai ni (kancolle), kantai collection, 1girl, blue eyes, hair between eyes, blonde hair, long hair, double bun, twintails, hair rings, serafuku, serafuku, black gloves, bike shorts, pleated skirt, partially fingerless gloves, black jacket, short sleeves, grey sailor collar, red ribbon",4,474,phrase
"aburame shino, naruto (series)",4,101,phrase
"abuto, gintama",4,31,phrase
"abyss (sound horizon), sound horizon",4,34,phrase
"abyss lector (genshin impact), genshin impact",4,30,phrase
"abyss mage (genshin impact), genshin impact, 1girl, hair between eyes, long sleeves, wide sleeves",4,152,phrase
"abyss watcher, dark souls (series), 1boy, red eyes, glowing eyes, white hair, full armor, helmet, red cape, gauntlets, pauldrons",4,96,phrase
"abyssal admiral (kancolle), kantai collection, 1boy, pale skin, mustache, beard, black hair, naval uniform, naval uniform, hat",4,534,phrase
"abyssal chishima princess, kantai collection",4,36,phrase
"abyssal crane princess, kantai collection, 1girl, white skin, horns, red eyes, hair between eyes, long hair, white hair, twintails, detached sleeves",4,130,phrase
"abyssal jellyfish princess, kantai collection, 1girl, floating hair, white skin, blue eyes, glowing eyes, one eye covered, white hair, absurdly long hair, long hair, very long hair, large breasts, cleavage, white dress",4,76,phrase
"abyssal nimbus princess, kantai collection, 1girl, pale skin, horns, fangs, lips, yellow eyes, hair between eyes, white hair, long hair, very long hair, twin braids, twintails, legs, white dress, bike shorts, juliet sleeves, claws, skeletal hand, carapace, beret, turret, rigging",4,45,phrase
"abyssal pacific princess, kantai collection",4,36,phrase
"abyssal sun princess, kantai collection, 1girl, white skin, horns, fangs, teeth, red eyes, brown eyes, thick eyebrows, short eyebrows, long hair, white hair, black hair, multi-tied hair, parted bangs, high ponytail, japanese clothes, japanese clothes, halo, wide sleeves, long sleeves, tassel, fingernails, black sclera, claws, miko, skeletal arm, kariginu, headgear, miko",4,35,phrase
"abyssal twin princess (black), kantai collection",4,84,phrase
"abyssal twin princess (white), kantai collection",4,86,phrase
"acacia (snowbreak), snowbreak: containment zone, 1girl, yellow eyes, hair between eyes, grey hair, long hair, short hair, ahoge, hair ornament, medium breasts, small breasts, thighs, china dress, china dress, blue dress, puffy short sleeves, wrist cuffs",4,38,phrase
"academy ahri, league of legends, 1girl, fox ears, fox tail, multiple tails, yellow eyes, slit pupils, long hair, red hair, pink hair, heart hair ornament, swept bangs, hairclip, large breasts, medium breasts, school uniform, school uniform, black thighhighs, pleated skirt, whisker markings",4,82,phrase
"academy d.va, overwatch, 1girl, lips, brown eyes, round eyewear, long hair, black hair, brown hair, twin braids, swept bangs, medium breasts, school uniform, school uniform, headphones, pink skirt, pink necktie, whisker markings, blazer",4,83,phrase
"acasta (azur lane), azur lane, 1girl, blue eyes, black hair, short hair, medium breasts, large breasts, thighs, white thighhighs, pleated skirt, long sleeves, blue bow, one side up",4,33,phrase
"accelerator (toaru majutsu no index), toaru majutsu no index, 1boy, red eyes, white hair, short hair, albino",4,2640,phrase
"accelgor, pokemon",4,110,phrase
"accord sensei, puyopuyo",4,34,phrase
"ace (arknights), arknights",4,51,phrase
"ace (fft-0), final fantasy, 1boy, blue eyes, blonde hair, short hair, akademeia uniform, school uniform, uniform, cape, akademeia uniform, scarf, school uniform, jacket, card",4,49,phrase
"ace trainer (pokemon), pokemon, 1girl, long hair, blonde hair, blue hair",4,397,phrase
"ace trappola, twisted wonderland, 1boy, red eyes, hair between eyes, short hair, orange hair, red hair, night raven college uniform, school uniform, long sleeves, facial mark",4,198,phrase
"acerola (fall 2020) (pokemon), pokemon",4,77,phrase
"acerola (pokemon), pokemon, 1girl, purple eyes, eyelashes, purple hair, flipped hair, short hair, medium hair, hair ornament, navel, collarbone, topknot, stitches, armlet",4,1030,phrase
"acerola (summer 2024) (pokemon), pokemon",4,39,phrase
"acfun girl, acfun, 1girl, yellow eyes, orange eyes, hair between eyes, blonde hair, short hair, orange hair, double bun, bun cover, hair bow",4,93,phrase
"acguy, gundam, no humans, 1girl, blue eyes, mecha",4,99,phrase
"ach, busou shinki, 1girl, aqua eyes, blue eyes, green eyes, pink hair, long hair, ahoge, medium breasts, large breasts, doll joints",4,45,phrase
"achakura, suzumiya haruhi no yuuutsu, 1girl, blue eyes, blue hair, long hair, kita high school uniform, serafuku, winter uniform, kita high school uniform, serafuku, blue skirt, winter uniform, blue sailor collar",4,114,phrase
"acheron (boundless choreo) (honkai: star rail), honkai: star rail",4,57,phrase
"acheron (honkai: star rail), honkai (series), 1girl, purple eyes, hair over one eye, purple hair, very long hair, long hair, streaked hair, hair ornament, large breasts, cleavage, thighs, leg tattoo, navel, black gloves, black shorts, white coat, black choker, single bare shoulder, bare shoulders, midriff, stomach",4,4649,phrase
"achi cirno, touhou, 1girl, red eyes, red hair, short hair, hair bow, fiery wings, fiery wings",4,90,phrase
"achikita chinami, nijisanji, 1girl, brown eyes, pink hair, long hair, twintails, ahoge, hair bow, white shirt, yellow bow, virtual youtuber, virtual youtuber",4,91,phrase
"achilles (fate), fate (series), 1boy, mature male, yellow eyes, brown eyes, short hair, green hair, black shirt, undercut, muscular male, large pectorals",4,874,phrase
"achilles (fearless diver) (fate), fate (series), 1boy, mature male, brown eyes, orange eyes, goggles on head, green hair, short hair, collarbone, black shirt, sleeveless shirt, orange pants, muscular male, undercut, large pectorals, abs, bara, sidepec, armband, black armband",4,110,phrase
"aciddrop (arknights), arknights, 1girl, bird ears, animal ears, blue eyes, hair between eyes, white pupils, goggles on head, eyewear on head, brown hair, short hair, long hair, ahoge, large breasts, black shirt, black gloves, black shorts, long sleeves",4,111,phrase
"acolyte (ragnarok online), ragnarok online, 1girl, long hair, short hair, brown hair, long sleeves",4,459,phrase
"acr (girls' frontline), girls' frontline, 1girl, holding gun, blue eyes, hair between eyes, mole under eye, blonde hair, short hair, medium hair, ahoge, hairclip, medium breasts, black gloves, adaptive combat rifle, assault rifle",4,46,phrase
"acura (gunvolt), azure striker gunvolt",4,50,phrase
"ad-6-0001a, project a.d.a., 1girl, monster girl, white skin, long tail, pointy ears, very long tail, long tongue, tail, red eyes, white hair, long hair, very long hair, alien, albino, digitigrade",4,60,phrase
"ada vessalius, pandora hearts, 1girl, green eyes, blonde hair, long hair, hair ribbon, large breasts, skirt",4,42,phrase
"ada wong, resident evil, 1girl, lips, brown eyes, short hair, black hair, bob cut, medium breasts, large breasts, red dress",4,707,phrase
"adachi koichi, ryuu ga gotoku (series), 1boy, mature male, wrinkled skin, beard stubble, mustache stubble, beard, full beard, thick eyebrows, short hair, grey hair, navel hair, sparse chest hair, plump, thick thighs, navel, old man, bara, stubble, muscular male, large pectorals, abs, goatee, hairy, sparse stubble",4,53,phrase
"adachi masahiro, working!!",4,32,phrase
"adachi rei, utau, 1girl, orange eyes, orange hair, medium hair, hair ribbon, hairclip, white jacket, black shirt, open jacket, white gloves, white ribbon, long sleeves, turtleneck, one side up, headlamp, radio antenna, headset",4,3418,phrase
"adachi sakura, adachi to shimamura, 1girl, hair between eyes, blue eyes, black hair, blue hair, short hair, sweat, school uniform, white shirt, collared shirt, long sleeves",4,379,phrase
"adachi taeko, sentimental graffiti, 1girl, brown eyes, brown hair, short hair, short twintails, hair ribbon, freckles",4,37,phrase
"adachi tenka, shoujo ramune, 1girl, brown eyes, hair between eyes, red eyes, black hair, long hair, very long hair, cube hair ornament, sidelocks, small breasts, collarbone, bare shoulders, one side up",4,74,phrase
"adachi tooru, persona, 1boy, black hair, short hair, suit, white shirt, collared shirt, necktie, red necktie, formal, formal",4,645,phrase
"adagaki aki, masamune-kun no revenge, 1girl, blue eyes, black hair, long hair, low twintails, small breasts, collarbone, school uniform, black pantyhose",4,180,phrase
"adagumo no saragimaru, len'en, 1other, snake tail, red eyes, green hair, short hair, snake hair ornament, short ponytail, split ponytail, blunt bangs, ponytail, purple capelet, japanese clothes, long sleeves, wide sleeves, black sleeves",4,252,phrase
"adagumo no yaorochi, len'en, 1other, snake tail, multiple tails, black eyes, grey eyes, black hair, long hair, side ponytail, black kimono, hakama pants, green scarf, hakama skirt, detached sleeves, long sleeves, black sleeves, wide sleeves",4,199,phrase
"adam (evangelion), neon genesis evangelion",4,33,phrase
"adam (hazbin hotel), hazbin hotel",4,62,phrase
"adam (honkai impact), honkai (series), 1boy, hair between eyes, yellow eyes, brown eyes, purple eyes, short hair, brown hair, very long hair, black hair, purple hair, ahoge, black gloves, brown coat, white shirt, long sleeves",4,174,phrase
"adam (lord of the mysteries), lord of the mysteries",4,43,phrase
"adam (nier:automata), nier:automata",4,60,phrase
"adam kapowski, skullgirls",4,30,phrase
"adam moonlit, evillious nendaiki",4,31,phrase
